代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,NI,Price,BVLAG,MV,BV,ADJEBEI,RD,ADV,CAPEX
1219,福壽,2020,M1200,12192020,0,0,0,0,0,322014,4443414,281614,20.58,3959290,1.6737971,1.122275458,0.244088713,0.009059705,0.163901609,0.114594283
1219,福壽,2019,M1200,12192019,0,0,0,0,0,322014,3959290,-1823,17.96,3816632,1.515307591,1.037377981,0.176700557,0.010363326,0.166814878,0.125829527
1219,福壽,2018,M1200,12192018,0,0,0,0,0,322014,3816632,-94723,15.1,3947659,1.231720217,0.966808937,0.135650268,0.010558156,0.149086839,0.164134744
1219,福壽,2017,M1200,12192017,0,0,0,0,0,322014,3947659,41066,15.31,3876860,1.271656531,1.018261944,0.164833912,0.00937666,0.144864659,0.166187585
1220,台榮,2022,M1200,12202022,0,0,0,0,0,177078,2434031,72368,14.65,2593610,1.000224668,0.938472245,0.073779018,0,0.045876597,0.0680376
1220,台榮,2021,M1200,12202021,0,0,0,0,0,177078,2593610,193481,14.64,2548594,1.017196902,1.017663072,0.12153093,0,0.04561417,0.100733581
1220,台榮,2020,M1200,12202020,0,0,0,0,0,177078,2548594,180606,14.51,2478489,1.036680728,1.028285379,0.116926482,0,0.044057085,0.063357554
1220,台榮,2019,M1200,12202019,0,0,0,0,0,177078,2478489,153765,9.27,2420348,0.678213654,1.024021752,0.112489609,0,0.048959488,0.067144064
1220,台榮,2018,M1200,12202018,0,0,0,0,0,177078,2420348,110331,8.89,2386159,0.65973115,1.014328048,0.091512762,0,0.045274854,0.053860619
1220,台榮,2017,M1200,12202017,0,0,0,0,0,177078,2386159,81361,9.48,2402622,0.698694776,0.993147903,0.073812693,0,0.039949272,0.043627753
1225,福懋油,2022,M1200,12252022,0,0,0,0,0,218703,3852374,347147,52,3872444,2.936790306,0.994817227,0.208305917,0.009963733,0.10869673,0.103620349
1225,福懋油,2021,M1200,12252021,0,0,0,0,0,218703,3872444,486847,44.73,3733141,2.62047032,1.037315226,0.247627936,0.009837293,0.107378478,0.122387555
1225,福懋油,2020,M1200,12252020,0,0,0,0,0,218703,3733141,417787,39.73,3648429,2.381592239,1.023218761,0.230275826,0.009624691,0.106139656,0.154848292
1225,福懋油,2019,M1200,12252019,0,0,0,0,0,218703,3648429,395480,31.7,3601285,1.925114258,1.013090883,0.229201243,0.009182556,0.110202331,0.230020118
1225,福懋油,2018,M1200,12252018,0,0,0,0,0,218703,3601285,300502,61.56,3637558,3.701207425,0.9900282,0.20514477,0.008633814,0.11390004,0.050439883
1225,福懋油,2017,M1200,12252017,0,0,0,0,0,218703,3637558,320546,68.64,3677711,4.081825331,0.989082068,0.202814468,0.007805942,0.10784942,0.052502494
1227,佳格,2022,M1200,12272022,0,0,0,0,0,915090,17853740,1317280,40.24,18477217,1.992898692,0.966256986,0.283022925,0.009283757,0.202447046,0.053146694
1227,佳格,2021,M1200,12272021,0,0,0,0,0,915090,18477217,2564015,43.13,18015627,2.190755376,1.025621645,0.37723372,0.009873428,0.225038573,0.06796011
1227,佳格,2020,M1200,12272020,0,0,0,0,0,915090,18015627,3257860,47.84,16950691,2.582662005,1.062825521,0.45166082,0.009795176,0.24966935,0.051849273
1227,佳格,2019,M1200,12272019,0,0,0,0,0,915090,16950691,3488852,53.52,16040325,3.053280828,1.056754835,0.474079796,0.009250685,0.247324041,0.061133549
1227,佳格,2018,M1200,12272018,0,0,0,0,0,915090,16040325,2602819,49.47,15023608,3.013224407,1.067674623,0.451330865,0.011168689,0.26691358,0.057217747
1227,佳格,2017,M1200,12272017,0,0,0,0,0,915090,15023608,2278310,48.62,14417761,3.085893559,1.04202088,0.41953879,0.006702566,0.254815155,0.098564957
1229,聯華,2022,M1200,12292022,0,0,0,0,0,1480130,53432123,4840308,62.17,56423056,1.630887949,0.946990943,0.097841439,0.000844548,0.011210896,0.00953479
1229,聯華,2021,M1200,12292021,0,0,0,0,0,1409648,56423056,4744160,49,44450094,1.553939391,1.269357406,0.121728854,0.001075161,0.01392366,0.012634979
1229,聯華,2020,M1200,12292020,0,0,0,0,0,1281498,44450094,3497207,38.61,37630191,1.314865444,1.181234876,0.108397749,0.0010562,0.014405348,0.013988103
1229,聯華,2019,M1200,12292019,0,0,0,0,0,1104740,37630191,2606996,26.45,24620602,1.186826098,1.528402555,0.128527645,0.001672258,0.020968618,0.018256702
1229,聯華,2018,M1200,12292018,0,0,0,0,0,1052133,24620602,2474643,21.18,25285915,0.881288138,0.973688395,0.111233072,0.001523101,0.011843511,0.017501997
1229,聯華,2017,M1200,12292017,0,0,0,0,0,956485,25285915,2735161,18.58,22114560,0.80361044,1.143405747,0.138363956,0.001518909,0.01316359,0.023388709
1231,聯華食,2022,M1200,12312022,0,0,0,0,0,224233,5171248,958044,84.44,4568168,4.144820094,1.132017912,0.428862949,0.021056143,0.198085097,0.300861308
1231,聯華食,2021,M1200,12312021,0,0,0,0,0,201762,4568168,778335,70.09,4065573,3.478353133,1.123622181,0.429074573,0.021836528,0.215792706,0.157502276
1231,聯華食,2020,M1200,12312020,0,0,0,0,0,183325,4065573,610730,45.37,3654089,2.27620489,1.112609189,0.411221785,0.022595509,0.221490226,0.532080089
1231,聯華食,2019,M1200,12312019,0,0,0,0,0,174595,3654089,531956,28.31,3437917,1.437726522,1.062878772,0.449568445,0.025069541,0.269766838,0.186614162
1231,聯華食,2018,M1200,12312018,0,0,0,0,0,166281,3437917,552027,27.59,3127240,1.46701014,1.099345429,0.470636728,0.029535629,0.26457899,0.125370934
1231,聯華食,2017,M1200,12312017,0,0,0,0,0,159886,3127240,380721,20.34,3023892,1.0754621,1.034177147,0.390502372,0.028292677,0.236305397,0.126206888
1232,大統益,2022,M1200,12322022,0,0,0,0,0,159975,5271072,1156882,146.5,4957653,4.727304936,1.063219229,0.368534062,0.001903118,0.133278186,0.071501374
1232,大統益,2021,M1200,12322021,0,0,0,0,0,159975,4957653,1238735,145.52,4641004,5.016061611,1.068228556,0.392359283,0.002053004,0.123395283,0.08067457
1232,大統益,2020,M1200,12322020,0,0,0,0,0,159975,4641004,1320636,147.02,4131485,5.692753211,1.123325874,0.458914894,0.002228497,0.137034747,0.100716328
1232,大統益,2019,M1200,12322019,0,0,0,0,0,159975,4131485,1000370,104.42,3942280,4.237291491,1.047993801,0.397365738,0.001850959,0.141760606,0.08107136
1232,大統益,2018,M1200,12322018,0,0,0,0,0,159975,3942280,894321,106.58,3825227,4.457287241,1.030600275,0.373011327,0.002082229,0.137133561,0.062976916
1232,大統益,2017,M1200,12322017,0,0,0,0,0,159975,3825227,879104,73.77,3806519,3.100301286,1.004914727,0.357427613,0.002100607,0.124380044,0.061309821
1233,天仁,2022,M1200,12332022,0,0,0,0,0,90592,1489549,51623,37.54,1460261,2.328914954,1.020056688,0.61827372,0.003843149,0.579078672,0.148479621
1233,天仁,2021,M1200,12332021,0,0,0,0,0,90592,1460261,17198,32.17,1504274,1.937376196,0.970741368,0.558116407,0.003747987,0.542935662,0.120706733
1233,天仁,2020,M1200,12332020,0,0,0,0,0,90592,1504274,58953,32.69,1616797,1.831678609,0.930403755,0.578356467,0.003090679,0.538802954,0.11992662
1233,天仁,2019,M1200,12332019,0,0,0,0,0,90592,1616797,156301,32.62,1607108,1.838775639,1.006028842,0.680464536,0.003025932,0.580182539,0.138453047
1233,天仁,2018,M1200,12332018,0,0,0,0,0,90592,1607108,174856,33.26,1501952,2.006115988,1.07001289,0.719828596,0.003116611,0.600292819,0.060616451
1233,天仁,2017,M1200,12332017,0,0,0,0,0,90592,1501952,175231,31.46,1424395,2.000866557,1.054449082,0.705708037,0.003060247,0.579626438,0.077963627
1234,黑松,2022,M1200,12342022,0,0,0,0,0,401871,18345327,883293,39.43,18143912,0.873338315,1.011100969,0.130166085,0.003071609,0.078411866,0.030813586
1234,黑松,2021,M1200,12342021,0,0,0,0,0,401871,18143912,795714,31.63,18068635,0.703494189,1.00416617,0.120509878,0.002880848,0.073590617,0.031883371
1234,黑松,2020,M1200,12342020,0,0,0,0,0,401871,18068635,889186,30.72,17882266,0.690375432,1.010422001,0.129007979,0.003164811,0.076118709,0.029818984
1234,黑松,2019,M1200,12342019,0,0,0,0,0,401871,17882266,844560,27.05,17628091,0.616664082,1.014418748,0.12332362,0.002845685,0.072568039,0.029775601
1234,黑松,2018,M1200,12342018,0,0,0,0,0,401871,17628091,694511,25.64,17562146,0.586714883,1.003754951,0.115532976,0.002819245,0.073167824,0.030806201
1234,黑松,2017,M1200,12342017,0,0,0,0,0,401871,17562146,530858,23.64,17837795,0.532589955,0.984546913,0.125031093,0.002816379,0.092454421,0.087371561
1235,興泰,2022,M1200,12352022,0,0,0,0,0,133629,1697508,195624,72.53,3614794,2.681234773,0.469600204,0.054384012,1.11E-06,0.000265299,0.000835179
1235,興泰,2021,M1200,12352021,0,0,0,0,0,104398,3614794,81793,39.49,2997328,1.375450741,1.206005482,0.027515507,1.00E-06,0.000225868,0.000660922
1235,興泰,2020,M1200,12352020,0,0,0,0,0,104398,2997328,64211,21.66,2583303,0.875336993,1.160269624,0.025252555,4.14E-05,0.000354972,0.000485038
1235,興泰,2019,M1200,12352019,0,0,0,0,0,98955,2583303,49143,15.56,5083655,0.302880467,0.508158598,0.010012284,6.65E-05,0.000278933,0.000319258
1235,興泰,2018,M1200,12352018,0,0,0,0,0,87960,5083655,103299,15.4,4158465,0.325741349,1.222483537,0.025347093,7.96E-05,0.00042684,0.000466278
1235,興泰,2017,M1200,12352017,0,0,0,0,0,60662,4158465,127328,14.49,2766128,0.317769959,1.503352339,0.047009032,0.000206426,0.000771476,0.000575172
1236,宏亞,2022,M1200,12362022,0,0,0,0,0,108343,2932606,-29486,25.62,2128491,1.3040918,1.377786422,0.191511263,0.008454346,0.196909924,0.217551777
1236,宏亞,2021,M1200,12362021,0,0,0,0,0,108343,2128491,-27478,30.76,1607981,2.072556007,1.323704074,0.241074366,0.009360807,0.248802069,0.14353279
1236,宏亞,2020,M1200,12362020,0,0,0,0,0,108343,1607981,-2260,16.44,1684512,1.057373839,0.954567851,0.240344385,0.007291132,0.234394887,0.132326751
1236,宏亞,2019,M1200,12362019,0,0,0,0,0,108343,1684512,13227,12.69,1834005,0.749655901,0.918488227,0.244326488,0.005183737,0.231930665,0.083897263
1236,宏亞,2018,M1200,12362018,0,0,0,0,0,108343,1834005,13217,13.46,1758224,0.829414671,1.043100879,0.272114361,0,0.264597116,0.08642471
1236,宏亞,2017,M1200,12362017,0,0,0,0,0,108343,1758224,5409,16.74,1834109,0.988851709,0.958625687,0.251400544,0,0.248451428,0.081627101
1240,茂生農經,2022,M3300,12402022,0,0,0,0,0,38598,1317752,-13815,44.23,1380415,1.236721957,0.95460568,0.125436191,0.003511987,0.131932064,0.041248465
1240,茂生農經,2021,M3300,12402021,0,0,0,0,0,36760,1380415,103540,39.2,1261234,1.142525495,1.09449555,0.212426084,0.004551098,0.125780783,0.070767201
