Code,Key,Industry,YICounts,Year,Equity,Asset,PPE,NI_Ctd,NI_Ctd_1,NI,NI_1,EBITDA,EBITDA_1,OCF,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD
1560,15602022,M1500,94,2022,6090670,9544895,4559011,1274350,721678,1274911,696842,2214891,1557672,1949833,6907619,1090395,10161515,6027838,1116695,5156550,1097687,4744420
1565,15652022,M1722,126,2022,6267762,8301695,3658997,1019054,947759,1014000,947723,1619427,1484173,1288248,5003499,639310,8600004,5401607,905371,5006588,401753,3680532
1568,15682022,M2200,34,2022,1638347,2923951,1350037,165390,29606,166780,10513,353034,194095,372480,1790943,433463,3214552,1825807,578896,1756718,226331,1446508
1569,15692022,M2325,106,2022,3678670,7219777,2690423,407394,327808,481032,333160,1133450,1044325,1130401,5004172,1430460,7313299,4770880,1918820,4941442,603683,3802528
1570,15702022,M1500,94,2022,912190,1048248,185920,108116,134525,106441,81555,153883,188157,163683,641014,132084,1061695,691132,140876,556021,73841,462602
1580,15802022,M1500,94,2022,2706346,3719305,1137526,354686,519458,357219,526469,737360,792232,595336,3936519,454936,3717863,4294503,554327,3300489,914278,2478200
1582,15822022,M2328,205,2022,5881329,11447348,2181140,377449,240615,418016,207944,1160687,845895,2348763,9809443,2151127,11792293,10194799,3774006,9663341,1279388,7809097
1583,15832022,M1500,94,2022,6829085,15211524,3290127,874634,436502,910524,354395,1410465,910256,394967,6385075,2068724,13088087,6725493,1776111,5205033,868564,5153581
1584,15842022,M9900,90,2022,2073127,4079669,829497,146431,54290,159554,62781,272542,131505,-716978,1771224,388701,2818851,1108859,283823,787558,112698,2458179
1586,15862022,M1500,94,2022,1542155,4273290,1973742,43134,107662,44501,115971,272505,389783,21164,2539681,726763,4411082,2639658,713698,2295575,349431,2271359
1587,15872022,M2200,34,2022,1399440,3129001,982674,137605,102477,125730,103174,397523,327195,366719,2535296,412928,3026406,2353243,387265,1725729,423032,1913464
1589,15892022,M1500,94,2022,8492012,21890919,9650666,-444375,213973,-270060,249346,364834,925189,-299508,9383925,3742658,18469856,8948211,3241509,8184273,1246250,8238172
1590,15902022,M1500,94,2022,38933090,54599547,28829175,6012658,6441397,5914170,6427807,10131404,10303274,5226416,26072874,9049809,47678656,25399895,7482725,19103001,4350200,16128445
1591,15912022,M1500,94,2022,503339,628077,277924,85942,49768,85920,49520,145408,100794,251367,681959,6349,632732,572787,66583,613035,54484,439612
1593,15932022,M3700,23,2022,1381415,2107274,875895,199029,172303,88215,172469,254901,229899,136800,874890,191878,1650408,1177477,247328,868646,179947,624753
1595,15952022,M2328,205,2022,2667890,5105553,776784,224652,183309,224668,170764,391905,320220,439762,1795723,497175,4505171,2417036,932822,1692149,348551,1920046
1597,15972022,M1500,94,2022,2423230,4054301,1861738,346787,308789,346768,321673,532294,541658,432264,1635779,295739,3797199,1856920,447754,1381885,333970,1119598
1598,15982022,M3700,23,2022,4063960,11964599,3691829,-94683,443598,-69033,458549,257237,901303,626766,7122411,1096332,12200791,11742081,1648518,13123756,2441738,4495506
1599,15992022,M1500,94,2022,2017340,3105864,1289521,274863,350196,264218,345496,496887,542286,105167,3379807,155223,3085826,3610997,210567,3225614,489996,2669201
1604,16042022,M1600,16,2022,8432273,13991744,5503815,715799,1732785,729409,663207,1222783,2149101,421350,8935666,841962,13033851,8904901,1127073,7670020,892564,7721132
1605,16052022,M1600,16,2022,129821212,252524853,65656466,19140076,15257314,11596935,14604303,28681030,22371262,13904807,180400719,21892332,183034898,156664766,13731142,112546603,7847591,167474982
1608,16082022,M1600,16,2022,8081493,13520161,3203094,89748,1652047,526268,762036,443447,2065117,-161454,10749897,1634188,13666035,10484814,1490607,7440063,188515,10745965
1609,16092022,M1600,16,2022,12423380,39325648,12603867,1064522,1654175,449269,1286800,2336101,2907187,-295066,26749017,3969158,34316540,27457879,4399914,18300805,1328946,25718021
1611,16112022,M1600,16,2022,4207190,5377875,787021,77314,279078,117641,-20359,164936,380348,195626,1570469,269046,5694130,1778424,323425,2074046,348208,1060207
1612,16122022,M1600,16,2022,7106379,8209066,1333899,354129,2698447,438007,167498,645655,2929408,491169,6385945,888013,8740782,6307283,527406,4567162,244575,5506694
