Key,Year,Trade,Industry,LGTA,RPA,RPA_Ctd,BM,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD,ADV,YICounts
43052019,2019,OTC,M1300,13.98553684,0,0,0.693071402,0.13824772,0.161026072,1.442852781,37,23,1,0,53.9,0.006525003,0.03621984,25
43052018,2018,OTC,M1300,14.00417032,0,0,0.665917674,0.142094847,0.148087576,1.501687129,37,23,1,0,52.58,0.007446184,0.035224961,24
43052017,2017,OTC,M1300,13.98494274,0,0,0.761856902,0.162191297,0.134311753,1.312582451,37,23,1,0,52.7,0.006995988,0.035263857,24
43062022,2022,TSE,M1300,17.20052463,0,0,1.244271058,0.599532739,0.059188422,0.803683404,45,23,1,0,62.07,0.002437601,0.066197395,25
43062021,2021,TSE,M1300,17.22627186,0,0,1.319460032,0.636576494,-0.003116286,0.757885783,45,23,1,0,60.38,0.002245284,0.061795701,25
43062020,2020,TSE,M1300,17.21054985,0,0,1.126350581,0.665385982,0.057931887,0.887823043,45,23,1,0,61.75,0.003390133,0.06958282,25
43062019,2019,TSE,M1300,17.32047309,0,0,1.904187744,0.712404076,0.039163079,0.525158301,45,23,1,0,62.48,0.003879662,0.058779012,25
43062018,2018,TSE,M1300,17.31890044,0,0,1.80732205,0.718033069,0.042783474,0.553304819,45,23,1,0,55.81,0.002792312,0.051901954,24
43062017,2017,TSE,M1300,17.41159544,0,0,1.227043972,0.741858452,0.018070412,0.814966719,45,23,1,0,59.14,0.002899588,0.054152148,24
44012022,2022,OTC,M1400,15.6044315,0,0,0.898837784,0.53347898,0.090542142,1.112547801,62,27,0,0,57.68,0.00369913,0.024336792,51
44012021,2021,OTC,M1400,15.60679692,0,0,0.880700727,0.541786765,0.129429554,1.135459492,62,27,0,0,56.3,0.002977534,0.018673875,51
44012020,2020,OTC,M1400,15.61660433,0,0,0.568993282,0.578698466,0.050887444,1.757489994,62,27,0,0,56.82,0.004025793,0.02580404,50
44012019,2019,OTC,M1400,15.58564965,0,0,0.934389363,0.553231874,0.092079596,1.070217663,62,27,0,0,50.04,0.004079151,0.026956011,49
44012018,2018,OTC,M1400,15.54866091,0,0,0.537254174,0.530033302,0.079154864,1.861316391,62,27,0,0,53.66,0.00445253,0.024048175,49
44012017,2017,OTC,M1400,15.48419596,0,0,0.585714291,0.490045689,0.113960879,1.707317058,62,27,0,0,51.99,0.004817555,0.022489754,48
44022022,2022,OTC,M1400,13.20190627,0,0,0.794681713,0.493008814,0.0477063,1.258365436,53,26,0,0,37.14,0,0.033342457,51
44022021,2021,OTC,M1400,13.31098505,0,0,0.489347186,0.532204799,-0.051097067,2.043538879,53,26,0,0,38.65,0,0.052622317,51
44022020,2020,OTC,M1400,13.25574851,0,0,0.799642174,0.436767627,-0.08909503,1.250559353,53,26,0,0,38.12,0,0.070830719,50
44022019,2019,OTC,M1400,13.28179324,0,0,1.391830773,0.365786696,-0.179749702,0.718478151,53,26,0,0,38.3,0,0.037663373,49
44022018,2018,OTC,M1400,13.83102065,0,0,0.166321892,0.942457448,-0.161657137,6.012437617,53,26,0,0,38.79,0,0.048361787,49
44022017,2017,OTC,M1400,13.94110831,0,0,0.677656637,0.765800925,-0.057167502,1.475673587,53,26,0,0,38.93,0,0.05533848,48
44062022,2022,OTC,M1400,13.67221277,0,0,1.228639572,0.223434384,0.070194207,0.813908344,43,24,1,0,52.44,0.004216952,0.031288591,51
44062021,2021,OTC,M1400,13.64883477,0,0,1.178731373,0.284344233,-0.012322883,0.848369716,43,24,1,0,54.45,0.005027602,0.03254049,51
44062020,2020,OTC,M1400,13.58007932,0,0,1.023028666,0.297706997,-0.003142123,0.977489716,43,24,1,0,55.17,0.007342486,0.039827095,50
44062019,2019,OTC,M1400,13.70882695,0,0,1.425912996,0.273624014,0.004559362,0.701305061,43,24,1,0,57.06,0.004401565,0.03010376,49
44062018,2018,OTC,M1400,13.72355863,0,0,1.536372025,0.274267691,0.015075388,0.65088402,43,24,1,0,56.4,0.002793964,0.02897053,49
