公司代號,公司名稱,報告書內容涵蓋期間,中文版上傳日期,產業類別,Year,Key,BVE,LNAT,NIS,Industry,Price,RPA,LN_RPA_Count,RPA_Count,KY,Price9m,Price6m,Price12m,Finance
8201,無敵,108/01/01~108/12/31,109/07/31,,2019,82012019,10.49,14,-1.11,M2331,7.19,0,0,0,0,9.42,8.86,9.83,0
8271,宇瞻,108/01/01~108/12/31,109/09/22,,2019,82712019,27.81,15,3.73,M2324,29.03,0,0,0,0,29.73,36.97,33.48,0
8341,日友,108/01/01~108/12/31,109/08/10,,2019,83412019,27.28,16,8.59,M9900,192.87,0,0,0,0,196.91,213.61,199.48,0
8422,可寧衛,108/01/01~108/12/31,109/08/26,,2019,84222019,52.07,16,10.79,M9900,111.22,0,0,0,0,133.95,133.63,139.48,0
8454,富邦媒,108/01/01~108/12/31,109/07/29,,2019,84542019,44.1,16,10.01,M2900,210.58,0,0,0,0,392.21,399.47,355.39,0
8464,億豐,108/01/01~108/12/31,109/10/21,,2019,84642019,47.62,17,15.93,M9900,159.19,0,0,0,0,312.07,253.55,296.17,0
8467,波力-KY,108/01/01~108/12/31,109/12/30,,2019,84672019,27.98,15,2.69,M9900,34.92,0,0,0,1,45.82,45.06,44.12,0
8473,山林水,108/01/01~108/12/31,109/11/19,,2019,84732019,53.05,16,3.35,M9900,31.79,0,0,0,0,36.27,39.9,36.27,0
8926,台汽電,108/01/01~108/12/31,109/06/22,,2019,89262019,20.55,17,1.86,M9700,22.31,0,0,0,0,30.03,29.86,30.63,0
8940,新天地,108/01/01~108/12/31,109/09/30,,2019,89402019,12.8,15,-0.42,M2700,8.98,0,0,0,0,10.1,12.45,11.3,0
9904,寶成,108/01/01~108/12/31,109/06/19,,2019,99042019,64.43,20,6.05,M9900,21.9,0,0,0,0,23.44,24.59,28.14,0
9907,統一實,108/01/01~108/12/31,109/07/10,,2019,99072019,12.03,17,0.35,M9900,6.67,0,0,0,0,8.32,7.63,9.88,0
9908,大台北,108/01/01~108/12/31,109/06/29,,2019,99082019,23.39,17,1.54,M9700,25.47,0,0,0,0,27.97,27.09,31.05,0
9910,豐泰,108/01/01~108/12/31,109/06/17,,2019,99102019,25.5,18,9.61,M9900,87.8,0,0,0,0,143.5,112.45,165.01,0
9911,櫻花,108/01/01~108/12/31,110/03/12,,2019,99112019,21.2,16,4.03,M9900,33.71,0,0,0,0,39.98,40.36,44.2,0
9917,中保科,108/01/01~108/12/31,109/08/27,,2019,99172019,24.79,17,4.86,M9900,67.72,0,0,0,0,72.88,72.1,76.78,0
9924,福興,108/01/01~108/12/31,109/07/08,,2019,99242019,29.75,16,4.61,M9900,28.17,0,0,0,0,35.46,32.51,37.29,0
9925,新保,108/01/01~108/12/31,109/11/04,,2019,99252019,27.66,17,2.16,M9900,27.66,0,0,0,0,31.2,29.92,31.75,0
9930,中聯資源,108/01/01~108/12/31,109/06/17,,2019,99302019,21.47,16,3.36,M9900,33.51,0,0,0,0,38.39,37.32,41.02,0
9933,中鼎,108/01/01~108/12/31,109/06/29,,2019,99332019,25.35,18,1.52,M9900,23.85,0,0,0,0,33.53,31.75,32.8,0
9934,成霖,108/01/01~108/12/31,109/09/28,,2019,99342019,15.63,17,0.81,M9900,10.55,0,0,0,0,13.76,12.05,14.57,0
9939,宏全,108/01/01~108/12/31,109/06/30,,2019,99392019,46.87,17,4.94,M9900,40.15,0,0,0,0,47.06,44.58,51.69,0
9940,信義,108/01/01~108/12/31,109/06/30,,2019,99402019,14.91,17,1.67,M9900,18.86,0,0,0,0,23.8,22.63,24.3,0
9941,裕融,108/01/01~108/12/31,109/12/03,,2019,99412019,68.44,19,10.15,M9900,46.7,0,0,0,0,61.01,58.64,61.93,0
9943,好樂迪,108/01/01~108/12/31,109/09/21,,2019,99432019,28.38,16,5.44,M2700,52.13,0,0,0,0,62.64,67.35,64.78,0
9945,潤泰新,108/01/01~108/12/31,109/06/30,,2019,99452019,85.12,19,9.74,M9900,12.25,0,0,0,0,19.07,16.39,20.05,0
1259,安心,108/01/01~108/12/31,109/08/07,,2019,12592019,57.51,15,4.32,M2700,53.98,0,0,0,0,59.39,61.63,62.61,0
1264,德麥,108/01/01~108/12/31,109/09/30,,2019,12642019,85.96,15,16.99,M1200,150.02,0,0,0,0,176.92,174.11,196.63,0
1268,漢來美食,108/01/01~108/12/31,109/07/22,,2019,12682019,41.17,15,7.67,M2700,86.8,0,0,0,0,111.76,114.47,114.85,0
1742,台蠟,108/01/01~108/12/31,109/06/29,,2019,17422019,12.46,14,0.8,M1721,16.58,0,0,0,0,18.82,18.65,17.22,0
1777,生泰,108/01/01~108/12/31,109/09/30,,2019,17772019,38.59,14,5.3,M1722,57.75,0,0,0,0,63.76,73.03,65.72,0
1785,光洋科,108/01/01~108/12/31,109/12/22,,2019,17852019,16.05,17,2.47,M2331,13.66,0,0,0,0,37.02,31.92,37.93,0
1796,金穎生技,108/01/01~108/12/31,109/09/01,,2019,17962019,13.97,14,-0.97,M1200,18.24,0,0,0,0,19.82,23.8,27.93,0
2035,唐榮公司,108/01/01~108/12/31,109/10/12,,2019,20352019,13.74,17,-2.4,M2000,38.4,0,0,0,0,38.1,38.9,38.7,0
2729,瓦城,108/01/01~108/12/31,109/09/30,,2019,27292019,91.23,16,15.42,M2700,112.36,0,0,0,0,139.1,145.08,141.82,0
2740,天蔥,108/01/01~108/12/31,109/09/30,,2019,27402019,2.64,12,-4.21,M2700,10.4,0,0,0,0,18.35,24.55,19.55,0
2752,豆府,108/01/01~108/12/31,109/09/30,,2019,27522019,36.56,14,6.09,M2700,71.46,0,0,0,0,133.68,134.42,134.87,0
2926,誠品生活,108/01/01~108/12/31,109/05/22,,2019,29262019,27.21,17,5.58,M3200,68.4,0,0,0,0,75.06,86.99,78.31,0
3081,聯亞,108/01/01~108/12/31,109/06/30,,2019,30812019,44.71,15,4.96,M2327,236.87,0,0,0,0,229.1,265.91,259.93,0
3088,艾訊,108/01/01~108/12/31,109/07/31,,2019,30882019,31.82,15,4.37,M2325,38.2,0,0,0,0,40.81,41.11,40.65,0
3093,港建*,108/01/01~108/12/31,109/09/30,,2019,30932019,22.8,14,1.49,M2331,4.98,0,0,0,0,6.88,5.86,7.84,0
3105,穩懋,108/01/01~108/12/31,109/06/29,,2019,31052019,70.37,18,10.8,M2324,234.45,0,0,0,0,261.03,266.04,315.23,0
3131,弘塑,108/01/01~108/12/31,110/06/01,,2019,31312019,95.14,15,11.07,M2331,164.55,0,0,0,0,330.96,220.12,349.88,0
3152,璟德,108/01/01~108/12/31,109/06/05,,2019,31522019,47.79,15,9.37,M2327,237.01,0,0,0,0,356.44,366.21,463.73,0
3205,佰研,108/01/01~108/12/31,109/08/28,,2019,32052019,20.58,14,-3.39,M1722,30.05,0,0,0,0,34.4,42.2,34.2,0
3211,順達,108/01/01~108/12/31,109/09/30,,2019,32112019,47.35,17,5.55,M2325,44.52,0,0,0,0,60.83,57.8,64.01,0
3224,三顧,108/01/01~108/12/31,109/06/30,,2019,32242019,17.31,14,-1.59,M2329,39.52,0,0,0,0,48.5,52.2,44.9,0
3264,欣銓,108/01/01~108/12/31,109/07/31,,2019,32642019,23.11,17,2.14,M2324,17.33,0,0,0,0,28.26,26.43,33.45,0
3303,岱稜,108/01/01~108/12/31,109/09/29,,2019,33032019,18.78,15,2.17,M2331,16.07,0,0,0,0,18.71,19.28,18.83,0
3374,精材,108/01/01~108/12/31,109/06/30,,2019,33742019,12.11,16,0.6,M2324,55.45,0,0,0,0,109.96,105.27,172.47,0
3388,崇越電,108/01/01~108/12/31,109/09/29,,2019,33882019,52.93,15,5.18,M2328,45.21,0,0,0,0,51.65,52.47,56.77,0
3489,森寶,108/01/01~108/12/31,109/05/11,,2019,34892019,15.43,15,0.55,M2500,8.26,0,0,0,0,11.03,10.09,9.91,0
3522,御頂,108/01/01~108/12/31,109/09/17,,2019,35222019,18.07,15,-2.03,M2700,18.86,0,0,0,0,16.89,18.71,21.7,0
