Year,Industry,Key,LGTA,MVE,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY,BM,ABSDA,DA,DA_ROA,ABCFO,ABPROD,ABEXP,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD,ROA,ADJROA_I,ADJROA
2018,M1200,12102018,17.56563282,22897594.52,0,0,0,0,0,0,0.970522601,0.04257812,0.04257812,0.036044049,-0.062743198,0.067155693,0.007603272,0.477437658,0.044831524,1.030372707,63,45,1,0,58.43,0.000605884,0.059232717,-0.000272124,-0.001436915
2017,M1200,12102017,17.52291368,19411345.84,0,0,0,0,0,0,1.119084538,0.016663143,-0.016663143,-0.021867793,-0.005125941,-0.168804492,-0.003718494,0.46689369,0.10872605,0.893587541,63,45,1,0,58.31,0.001808089,0.070055767,0.010550926,0.010278802
2022,M1200,12132022,13.87225377,365218.35,0,0,0,0,0,0,1.001849989,0.030305381,-0.030305381,-0.005972513,-0.014975874,0.145424452,-0.086591754,0.654289936,0.00925562,0.998153427,58,42,0,0,47.54,0,-0.067514686,-0.127019527,-0.117877944
2021,M1200,12132021,13.93138244,426371.19,0,0,0,0,0,0,1.035986977,0.015134138,-0.015134138,0.013345323,-0.050084283,0.142597426,-0.081359623,0.606613338,-0.024621232,0.965263099,58,42,0,0,37.37,0,-0.075230964,-0.134735805,-0.133662068
2020,M1200,12132020,14.04287001,502812.24,0,0,0,0,0,0,1.066294647,0.032309819,0.032309819,0.044266079,-0.029317159,0.111293761,-0.080578191,0.572887664,-0.003012075,0.937827084,58,42,0,0,37.99,0,-0.021526032,-0.081030873,-0.081764357
2019,M1200,12132019,14.05137446,339738,0,0,0,0,0,0,1.658357322,0.069270869,0.069270869,0.081252202,-0.073899679,0.08602506,-0.081904187,0.554971477,-0.053273218,0.603006353,58,42,0,0,48.21,0,-0.031457684,-0.090962525,-0.095050315
2017,M1200,12132017,13.67032986,832358.1,0,0,0,0,0,0,0.8362098,0.096027347,0.096027347,0.096130586,-0.086074796,0.001582208,-0.103561368,0.195220994,-0.053697336,1.195872136,58,42,1,0,49.58,0,0.002331917,-0.057172924,-0.057445048
2022,M1200,12152022,17.08863761,26746296.7,0,0,0,0,0,0,0.354731876,0.046705024,0.046705024,0.05007527,-0.035985182,0.085997257,-0.046153141,0.64052983,0.053138272,2.819030563,46,36,1,0,61.32,0,0.06688279,0.007377949,0.016519532
2021,M1200,12152021,16.95869133,18311825.03,0,0,0,0,0,0,0.469259999,0.073974664,0.073974664,0.074200635,-0.059772653,0.068473456,-0.041181924,0.629251758,0.030170547,2.131014794,46,36,1,0,66.56,0,0.067207283,0.007702442,0.008776179
2020,M1200,12152020,16.78829908,18244827.28,0,0,0,0,0,0,0.478682854,0.006559426,0.006559426,-0.001191264,0.038967707,0.025033433,-0.04460796,0.553190931,0.122357684,2.089065843,46,36,1,0,63.49,0,0.088047947,0.028543106,0.027809623
