,TAC,A1,A2,A3,DA
1418,0.079015626,1.07E-07,0.0561,0.378722685,0.10599691
1419,-0.072125621,8.84E-08,-0.0308,0.313500955,-0.047210613
1420,0.029545264,1.67E-07,0.0594,0.157698253,0.037311654
1421,-0.01118696,1.67E-07,-0.00597,0.152510214,-0.001089115
1422,-0.02886724,1.75E-07,-0.0301,0.187698867,-0.014634437
1423,0.06492923,1.59E-07,0.0685,0.162554297,0.072698103
1424,0.074107628,1.48E-07,0.225,0.148617334,0.073942778
1425,-0.117625221,1.23E-07,0.00634,0.125026516,-0.11062654
1426,0.052915699,7.63E-08,0.0494,0.629641913,0.101989483
1427,0.00326604,6.72E-08,0.22,0.303471043,0.016528858
1428,-0.180703785,6.31E-08,0.0143,0.249208682,-0.163429551
1429,-0.042610774,1.13E-07,-0.379,0.417315175,0.006317603
1430,-0.029914988,1.23E-07,0.324,0.367745223,-0.015251103
1431,-0.108464569,1.14E-07,-0.104,0.355059313,-0.076694166
1432,0.032184147,1.22E-08,0.213,0.479382309,0.060899852
1433,-0.023795246,1.15E-08,0.0293,0.471389519,0.012050755
1434,-0.053991707,1.15E-08,-0.146,0.495581375,-0.008558158
1435,-0.015809955,1.19E-08,-0.0426,0.551886573,0.030137338
1436,0.011901834,1.19E-08,0.409,0.557452003,0.039082436
1437,-0.014726522,1.05E-08,-0.0731,0.481135226,0.026332903
1438,-0.001490797,4.86E-07,0.018,0.564936157,0.044885904
1439,0.009870149,4.55E-07,0.0256,0.55213859,0.05467956
1440,-0.059567551,4.35E-07,-0.0804,0.507529576,-0.014214995
1441,-0.082655655,4.69E-07,-0.0423,0.52435822,-0.037320813
1442,-0.031681754,5.20E-07,0.193,0.564020877,0.007287724
1443,0.135434277,4.98E-07,-0.156,0.518243538,0.185196479
1444,-0.224728373,4.45E-07,0.0108,0.444515511,-0.188728473
1445,-0.12835201,4.55E-07,-0.367,0.425320187,-0.077885419
1446,-0.010930965,4.67E-07,-0.50682,0.394019813,0.042811042
1447,0.004575907,5.21E-07,-0.192,0.379684653,0.043854138
1448,-0.087595796,5.70E-07,0.71,0.277702643,-0.095489606
1449,0.272046036,5.12E-07,-0.50682,0.200681134,0.309068826
1450,0.073504325,2.19E-08,0.311,0.158068513,0.070002818
1451,0.121069601,1.76E-08,0.334,0.226624529,0.12256111
1452,0.002751209,1.03E-08,-0.0405,0.147122536,0.01323273
1453,-0.042525404,9.68E-09,-0.19,0.137127209,-0.026546224
1454,-0.010509698,1.02E-08,0.371,0.14159159,-0.018055245
1455,0.070367555,9.17E-09,0.151,0.189969879,0.076424609
1456,0.017794627,1.60E-07,0.514,0.608117387,0.045510622
1457,0.003887347,1.53E-07,0.182,0.574448105,0.042787178
1458,-0.02678471,1.48E-07,-0.216,0.539316366,0.025993823
1459,0.013684658,1.64E-07,-0.158,0.576279335,0.067284306
1460,0.171347394,1.52E-07,0.676,0.515940279,0.184072085
1461,-0.05519878,1.16E-07,-0.119,0.38669399,-0.020016761
1462,0.074080114,9.18E-08,0.0998,0.240053617,0.087022898
1463,-0.074258519,9.53E-08,-0.249,0.257440813,-0.044912411
1464,-0.026934023,1.04E-07,-0.125,0.285930292,-0.000350618
1465,-0.091232755,1.04E-07,-0.0749,0.267338519,-0.068408742
1466,0.091049396,9.93E-08,0.493,0.237877928,0.087068558
1467,-0.087346044,8.50E-08,-0.115,0.195947407,-0.069126888
1468,0.007126275,9.52E-08,0.149,0.386896121,0.030816495
1469,-0.029550141,9.55E-08,0.069,0.380741828,-0.002986117
1470,-0.044781282,9.51E-08,-0.118,0.394118016,-0.009077659
1471,0.027265703,9.40E-08,-0.133,0.411464915,0.065120558
1472,0.117891894,8.57E-08,0.347,0.386223354,0.133044556
1473,-0.156385232,6.93E-08,0.0996,0.317561036,-0.136750007
1474,0.040133554,8.39E-08,0.165,0.321736667,0.057403067
1475,0.082578719,7.24E-08,0.00234,0.253185247,0.100747088
