代號,名稱,Year,Industry,Key,RPA_Ctd,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,Price,eps2,eps1,dvps1
1301,台塑,2018,M1300,13012018,0,0,0,0,0,0,6365741,355568001,501513267,88.89,7.87,7.85,5.76818
1301,台塑,2017,M1300,13012017,0,0,0,0,0,0,6365741,345010166,476071036,82.89,7.85,6.19,4.601027
1303,南亞,2022,M1300,13032022,0,0,0,0,0,0,7930822,394101430,665316156,72.5,3.94,10.29,7.529193
1303,南亞,2021,M1300,13032021,1,1,0.693147181,1,0,0,7930822,428740770,668695386,72.31,10.29,3.27,2.421108
1303,南亞,2020,M1300,13032020,0,0,0,0,0,0,7930822,356586478,584712347,70.46,3.27,2.87,2.170007
1303,南亞,2019,M1300,13032019,0,0,0,0,0,0,7930822,355570700,554678679,52.91,2.87,6.64,4.991952
1303,南亞,2018,M1300,13032018,0,0,0,0,0,0,7930822,386904992,570249344,60.27,6.64,6.87,5.096853
1303,南亞,2017,M1300,13032017,0,0,0,0,0,0,7930822,367219759,544071389,62.97,6.87,4.73,3.456211
1304,台聚,2022,M1300,13042022,0,0,0,0,0,0,1188764,50924885,77741569,22.39,1.56,4.59,2.312442
1304,台聚,2020,M1300,13042020,1,1,0.693147181,1,0,0,1188764,48723643,77324516,31.82,1.93,0.94,0.436066
1304,台聚,2021,M1300,13042021,0,0,0,0,0,0,1188764,55644961,84825213,21.87,4.59,1.93,0.952069
1304,台聚,2019,M1300,13042019,0,0,0,0,0,0,1188764,39176947,71425786,10.13,0.94,0.14,0.09247
1304,台聚,2018,M1300,13042018,0,0,0,0,0,0,1188764,36454709,68991038,9.48,0.14,1.05,0.33033
1304,台聚,2017,M1300,13042017,0,0,0,0,0,0,1165454,34808419,64393851,10.9,1.05,1.16,0.557148
1305,華夏,2022,M1300,13052022,0,0,0,0,0,0,581050,10041228,16683779,23.08,-0.74,4.34,2.553656
1305,華夏,2021,M1300,13052021,0,0,0,0,0,0,581050,11835269,16975315,27.48,4.34,2.91,1.773645
1305,華夏,2020,M1300,13052020,0,0,0,0,0,0,553381,10303758,13893625,30.88,2.91,1.12,0.4592
1305,華夏,2019,M1300,13052019,0,0,0,0,0,0,527030,8712566,12331233,14.33,1.12,2.47,1.471132
1305,華夏,2018,M1300,13052018,0,0,0,0,0,0,506760,8811104,13224095,16.3,2.47,2.64,1.534368
1305,華夏,2017,M1300,13052017,0,0,0,0,0,0,492000,8200848,12673221,19.06,2.64,3.04,1.710608
1307,三芳,2022,M1300,13072022,0,0,0,0,0,0,397818,8482298,15400050,25.2,1.42,0.3,0.51471
1307,三芳,2021,M1300,13072021,0,0,0,0,0,0,397818,7651060,14740117,18.94,0.3,0.63,0.574812
1307,三芳,2020,M1300,13072020,0,0,0,0,0,0,397818,7873126,15340889,21.74,0.63,1.07,0.791158
1307,三芳,2019,M1300,13072019,0,0,0,0,0,0,397818,8264085,15136071,19.12,1.07,0.87,0.571242
1307,三芳,2018,M1300,13072018,0,0,0,0,0,0,397818,8216613,14522208,21.43,0.87,2.29,1.718874
1307,三芳,2017,M1300,13072017,0,0,0,0,0,0,397818,8380965,14400134,24.69,2.29,3.11,2.187885
1308,亞聚,2022,M1300,13082022,0,0,0,0,0,0,593744,14216958,16390069,25.3,2.52,5.01,2.877744
1308,亞聚,2021,M1300,13082021,0,0,0,0,0,0,593744,15462049,18978546,24.15,5.01,1.66,1.05078
1308,亞聚,2020,M1300,13082020,0,0,0,0,0,0,582102,12109545,16883503,28.42,1.66,1.39,0.563089
1308,亞聚,2019,M1300,13082019,0,0,0,0,0,0,554383,10229820,16923091,14.35,1.39,0.51,0.295698
