CompanyCode,CompanyName,ReportReason,Industry,AssuranceType,ReportURL,ReleaseDate,RPA_Count
2313,華通,5.股本達新臺幣五十億元以上者,電子零組件業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2313_109.pdf,110/06/23,0
2314,台揚,6.係自願編製與申報,通信網路業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2314_109.pdf,110/06/21,0
2317,鴻海,5.股本達新臺幣五十億元以上者,其他電子業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2317_109.pdf,110/06/30,1
2323,中環,5.股本達新臺幣五十億元以上者,光電業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2323_109.pdf,110/06/30,0
2324,仁寶,5.股本達新臺幣五十億元以上者,電腦及週邊設備業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2324_109.pdf,110/06/30,0
2327,國巨,6.係自願編製與申報,電子零組件業,會計師事務所：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2327_109.pdf,110/09/30,0
2328,廣宇,5.股本達新臺幣五十億元以上者,電子零組件業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2328_109.pdf,110/06/28,0
2329,華泰,5.股本達新臺幣五十億元以上者,半導體業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2329_109.pdf,110/06/30,0
2330,台積電,5.股本達新臺幣五十億元以上者,半導體業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2330_109.pdf,110/06/30,0
2331,精英,5.股本達新臺幣五十億元以上者,電腦及週邊設備業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2331_109.pdf,110/06/29,0
2332,友訊,5.股本達新臺幣五十億元以上者,通信網路業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2332_109.pdf,110/06/30,0
2337,旺宏,5.股本達新臺幣五十億元以上者,半導體業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2337_109.pdf,110/06/29,0
2340,台亞,6.係自願編製與申報,半導體業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2340_109.pdf,110/06/30,0
2344,華邦電,5.股本達新臺幣五十億元以上者,半導體業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2344_109.pdf,110/06/28,0
2345,智邦,5.股本達新臺幣五十億元以上者,通信網路業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2345_109.pdf,110/06/29,0
2347,聯強,5.股本達新臺幣五十億元以上者,電子通路業,會計師事務所：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2347_109.pdf,110/09/30,0
