代號,名稱,Year,Industry,Key,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY,BM,ABSDA,DA,LGTA,LEV,OCF,MTB
1234,黑松,2022,M1200,12342022,0,0,0,0,0,0,1.157742597,0.022343006,0.022343006,16.94048208,0.193939633,0.035732377,0.863749855
1234,黑松,2021,M1200,12342021,0,0,0,0,0,0,1.427397959,0.007102642,0.007102642,16.94176202,0.203809167,0.048468966,0.700575473
1234,黑松,2020,M1200,12342020,0,0,0,0,0,0,1.463583369,0.003801958,-0.003801958,16.91611582,0.186514928,0.064504695,0.683254553
1234,黑松,2019,M1200,12342019,0,0,0,0,0,0,1.64501027,0.004171744,0.004171744,16.9353599,0.210250794,0.053980114,0.60789894
1234,黑松,2018,M1200,12342018,0,0,0,0,0,0,1.710805333,0.032367495,0.032367495,16.9495899,0.232476082,0.020083787,0.584520039
1234,黑松,2017,M1200,12342017,0,0,0,0,0,0,1.848602106,0.072540835,0.072540835,16.94472107,0.231615273,-0.026907943,0.540949292
1235,興泰,2022,M1200,12352022,0,0,0,0,0,0,0.175143262,0.065308261,0.065308261,15.09791748,0.529164091,-0.010438223,5.709611598
1235,興泰,2021,M1200,12352021,0,0,0,0,0,0,0.876807468,0.012879657,0.012879657,15.35826258,0.22718621,0.006234814,1.140501235
1235,興泰,2020,M1200,12352020,0,0,0,0,0,0,1.325511926,0.015662022,-0.015662022,15.24279858,0.280764758,0.032391319,0.754425502
1235,興泰,2019,M1200,12352019,0,0,0,0,0,0,1.677752955,0.00081266,0.00081266,15.25202905,0.385809221,0.009901743,0.596035308
1235,興泰,2018,M1200,12352018,0,0,0,0,0,0,3.752927098,0.009769252,0.009769252,15.73694386,0.255768261,0.006088211,0.26645868
1235,興泰,2017,M1200,12352017,0,0,0,0,0,0,4.730945449,0.048700642,0.048700642,15.5621881,0.274962231,0.006507872,0.21137424
1236,宏亞,2022,M1200,12362022,0,0,0,0,0,0,1.056510303,0.105731026,0.105731026,15.23205183,0.288692056,0.036724721,0.946512303
1236,宏亞,2021,M1200,12362021,0,0,0,0,0,0,0.638681932,0.016534839,-0.016534839,15.05576592,0.384205565,0.047736205,1.56572458
1236,宏亞,2020,M1200,12362020,0,0,0,0,0,0,0.902772337,0.037099156,-0.037099156,14.83254107,0.418445829,0.082027955,1.107698983
1236,宏亞,2019,M1200,12362019,0,0,0,0,0,0,1.225213096,0.001578226,0.001578226,14.8220569,0.384346167,0.051425094,0.81618455
