Code,Key,Equity,Asset,PPE,NI_Ctd,OCF,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD
1802,18022022,51661051,93030018,42343801,-701658,6710097,43859066,11903416,99455329,53591856,16862925,41841022,5375086,39390738
1805,18052022,504484,1348608,13417,-94628,105737,348843,6694,1459103,185474,63916,219762,74872,346894
1806,18062022,5447014,8333220,3006680,-188243,405522,3006408,676577,9521433,3205927,1093322,3609001,616246,2143291
1808,18082022,6023327,48814771,232087,156636,-7768654,2485724,1357097,39325011,10479267,581309,7656236,593061,1673107
1809,18092022,3419555,4732602,1811569,31959,-49264,2592031,645363,4383865,2198797,548241,1860523,566113,2063141
1810,18102022,6508692,9864188,3594970,158132,105134,5004444,1160475,11470876,5313319,1321497,5102207,1206122,3695789
1813,18132022,821735,1137528,330202,-9788,31929,362052,107531,1264090,451129,107270,445877,82381,384316
1815,18152022,7394624,14058955,8579645,31523,1549252,4650737,1058022,14735033,5256034,1728807,3427945,613471,3814101
1817,18172022,2023737,2727235,1007336,295291,354159,2669606,333117,2728848,2372638,304923,2306521,546719,1750262
1903,19032022,5164174,9298288,1635475,211780,276502,165058,53031,12434471,326024,50405,159473,179369,88913
1904,19042022,29297781,70010480,38152595,2709489,4902987,43921728,6419453,66440325,44986090,7497926,40074390,5675179,36588956
1905,19052022,18094610,35439171,16151011,539691,482053,23651129,3751620,33968456,22031850,3902262,18616694,2311569,21098988
1906,19062022,4877778,7285588,37166,426884,191377,4599041,82673,9003364,1843261,151099,1245461,436762,4151392
1907,19072022,69593393,139472324,49015451,2846578,8149592,79635878,15026497,136434264,85298857,17594690,73234546,9968655,68520323
1909,19092022,24101124,72592403,46439262,-923148,2888482,52968404,8389539,78064860,56608196,11624402,41600592,4800626,48580467
2002,20022022,356845444,683769397,370248034,17995059,24343185,449567488,13336243,687994969,468327501,18178793,314783301,13637110,417665025
2006,20062022,28914514,54766547,20038567,4010769,6865439,59972121,3589255,55402752,58795089,4244313,42866290,2326477,52459095
2007,20072022,6790438,11756112,4743758,-694654,1050375,6828696,145041,13148601,7018786,474608,5589791,211205,6895194
2008,20082022,2815630,7259818,1514042,112184,124547,2216054,107548,7326880,1550624,96357,962510,188657,1888923
2009,20092022,4521399,6552149,1070805,196940,-6947,2895412,170862,8287859,3218804,318799,2260596,62609,2943882
2010,20102022,11574260,20794384,5329676,613804,2593341,24497782,4844363,23143623,26320660,6284885,19228310,803464,22997506
2012,20122022,5068930,12601719,3055795,663116,1613601,11049641,2085487,12691505,11810242,2711492,8054615,938754,9247148
2013,20132022,5253169,13361707,1781888,478931,1084244,19364458,1190343,13905391,15971051,1353278,13242169,333607,18402454
2014,20142022,17062437,36764877,9801656,-989929,27529,44503494,289350,37479334,53744012,977933,36790154,634757,45629434
2015,20152022,21785442,25654174,9136866,3073395,4199982,38604929,2028593,26872216,38360406,1914320,27298051,876186,34424330
2017,20172022,5756672,10633489,3547637,295982,1062929,3558443,189883,11316192,4036006,318603,3493012,387464,2899089
2020,20202022,3206566,7386069,1016695,266632,1135420,6624345,556257,8131835,6558618,542068,5073767,193567,6199928
2022,20222022,6487034,8521013,3101082,-64295,859933,9616117,606358,8733983,10700393,784958,7930384,502645,8999045
2023,20232022,32792103,93151389,45775712,522105,1893901,83675863,3436483,95141053,90046653,2854764,55421795,6839551,74531778
