"","X","Code","Key","AC","A1","A2","A3","A4","DA","DA_ROA"
"115",115,1519,15192022,-0.00156333302762742,1.00782170424666e-07,-0.18027138622852,0.199213798288517,0.0828735818688844,0.0246879779766232,0.0119092667738088
"116",116,1521,15212022,-0.104399429305902,2.94597407601733e-07,-0.058424263278168,0.284770521876362,0.0261673201328163,-0.0786078140242757,-0.0764544530038241
"117",117,1522,15222022,-0.015652219967676,4.15720780638819e-08,0.137308832357976,0.333271335507581,0.0416494437011588,0.000375118903199236,0.00474218505584494
"118",118,1524,15242022,-0.0639645680373893,1.85073558411158e-07,0.0954974009194825,0.582835130736887,0.0622670733596422,-0.0175228164874692,-0.0192742991006166
"119",119,1525,15252022,0.0632029172686708,1.87832792750556e-07,0.0628347649948797,0.103239664876244,0.0506806684743695,0.0597325340983997,0.0598729819123926
"120",120,1526,15262022,0.0413059138830938,3.53477047674863e-07,0.0117683113482392,0.257155259137558,0.136655640539293,0.0584841978639339,0.0377972490556626
"121",121,1527,15272022,-0.115422270897236,1.94873273909976e-07,-0.185419971392603,0.171387926431442,0.14460629752472,-0.0919284638011823,-0.11875725877788
"122",122,1528,15282022,0.00587816854709386,1.960173585132e-07,0.0365605696578066,0.198480904674994,0.0301717758917859,0.0148841962294579,0.0188471074937098
"123",123,1529,15292022,0.0468970721376842,3.92611676428302e-07,-0.0679394875475355,0.275514851321884,0.0182305305832718,0.07230147612514,0.0756715391954519
"124",124,1530,15302022,0.0205242876106765,1.61101158639533e-07,-0.0716792218169633,0.289574982923277,0.0562705403977265,0.048050477525198,0.0436344935064279
"125",125,1531,15312022,0.00509643309073089,2.04791171370686e-07,-0.147332093254527,0.199490971064441,0.0381855666049494,0.0286585800555829,0.0262507927111999
"126",126,1532,15322022,-0.00466913163208709,2.00111930607266e-08,-0.0912111580491432,0.212331685605026,0.0197892689296831,0.0161170723130512,0.0197370540241346
"127",127,1533,15332022,0.041972193658205,1.29591004310845e-07,0.0560370941290739,0.294329421628868,-0.00859745599899437,0.0600176788094519,0.0732059377343187
"128",128,1535,15352022,0.0783775005861104,1.45708003201496e-07,0.067695792579412,0.0452496203942247,0.0758437841184396,0.0682324608232336,0.0630828087854468
"129",129,1536,15362022,0.0369594428330041,4.73852375746548e-08,0.0432065703991339,0.651979501714848,0.0298087735568008,0.0952497321381245,0.0997736612448198
"130",130,1537,15372022,0.00517157581964795,1.90299375171032e-07,0.302804556071521,0.141367125935179,0.167763171666402,-0.0129950770465131,-0.0327766898008042
"131",131,1538,15382022,-0.026130038495289,3.20260307577999e-06,0.0864991064737419,0.0629984051036683,-0.0880651793777983,-0.0396319512359353,-0.01756259259221
"132",132,1539,15392022,-0.0407272536889035,2.54152986882148e-07,-0.344301559635219,0.300290141049825,0.0996172964323529,0.00928704040911817,-0.0117765956987987
"133",133,1540,15402022,0.0129313265002082,6.57748041719643e-07,0.0855309243530555,0.2011367201657,0.0711262422393953,0.0178010847477625,0.0125033182395672
"134",134,1541,15412022,-0.167991247087896,1.92456290770662e-07,-0.701609030818988,0.124294238724708,0.0523594660107756,-0.109067556282044,-0.128327350394074
"135",135,1558,15582022,-0.0715367444490222,1.25532351318855e-07,0.0632760880704849,0.442605604718209,0.0784821983827918,-0.0378311735589024,-0.0437377157817497
"136",136,1560,15602022,-0.0664746349338657,9.84105224467021e-08,0.0839915111083337,0.448654654350262,0.125409449279955,-0.0337018152467555,-0.0493797972932394
"137",137,1565,15652022,-0.0313016133480868,1.16279015684179e-07,-0.0772289175679453,0.425464569551363,0.118494596049025,0.0115856651202378,-0.00662122613722494
"138",138,1568,15682022,-0.0644226629402791,3.11085339418992e-07,-0.056087753441226,0.419976718373198,0.0514504042865071,-0.0240413310234668,-0.0275101924005194
"139",139,1569,15692022,-0.0988619499900113,1.36737196168241e-07,-0.0348772831522409,0.367880897526547,0.0557059132957643,-0.0656303761190086,-0.06895604268518
"140",140,1570,15702022,-0.0523380066780007,9.41890090845299e-07,-0.0554867452516966,0.175116205689958,0.10183338906183,-0.0395845185971991,-0.0560443726230556
"141",141,1580,15802022,-0.0647280440403533,2.68971718430722e-07,-0.123020939717252,0.305962322979626,0.0954005029233191,-0.0315074202454443,-0.0461847542270334
"142",142,1582,15822022,-0.16716969295115,8.4801149360858e-08,-0.170300636186703,0.184963178916942,0.0320081090251065,-0.143241525794977,-0.144479646351302
"143",143,1583,15832022,0.0366491298537365,7.64053600805068e-08,-0.00365255823864863,0.251383338145598,0.066826725708654,0.0547544618087089,0.0499718326081368
"144",144,1584,15842022,0.306298204481188,3.54754472655703e-07,0.272182885863779,0.294267770804487,0.0519470521854472,0.30706340188527,0.311552323027307
"145",145,1586,15862022,0.00498063740370277,2.26701748006498e-07,-0.0197031023227408,0.447450761513842,0.00977855319851229,0.0456132468734552,0.0525088168164918
"146",146,1587,15872022,-0.0757049781159567,3.3042493307243e-07,0.0686345453980728,0.324699990682017,0.0454681229154317,-0.0555777557407289,-0.0546530667884202
"147",147,1589,15892022,-0.00784342877388974,5.41422737675919e-08,0.0507238930287275,0.522509000611591,-0.0240594729054737,0.0356810291214362,0.0523143186036763
"148",148,1590,15902022,0.0164904396633999,2.0973745568667e-08,0.046982511419785,0.604655781404577,0.12610795908341,0.0693388251188575,0.0527762097262915
"149",149,1591,15912022,-0.261445604142038,1.5804479621704e-06,0.0773439623726949,0.439244419438246,0.135826858764848,-0.231032189343266,-0.253759805117952
"150",150,1593,15932022,0.0377052219814737,6.05910780849341e-07,-0.216938478242956,0.530714223392034,0.120593816801664,0.102479894362318,0.078786747555844
"151",151,1595,15952022,-0.047747355205829,2.21967157295472e-07,-0.234610406575022,0.172420536312606,0.0498653658207424,-0.0203073612086552,-0.0275105410721871
"152",152,1597,15972022,-0.022510540005936,2.63352012891608e-07,-0.0982713837225808,0.490292449776796,0.091327054494642,0.0289404971731494,0.0157373220400988
"153",153,1598,15982022,-0.0591313300916309,8.19618990276942e-08,-0.423895139257774,0.302589315725513,-0.00776039848563917,-0.00239306730330201,-0.0011787870256887
