代號,名稱,年/月,Year,Key,Equity,TA,NI,BVE,NB,LNAT,NIS,Industry,Price3m,RPA,LN_RPA_Count,RPA_Count,Finance,KY,Price
1232,大統益,18-Dec,2018,12322018,3942280,5470902,894321,24.64,0.22685375,16,5.59,M1200,83.95,0,0,0,0,0,106.58
1232,大統益,17-Dec,2017,12322017,3825227,5452648,879104,23.91,0.229817472,16,5.5,M1200,72.52,0,0,0,0,0,73.77
1233,天仁,22-Dec,2022,12332022,1489549,2353960,51623,16.44,0.034656799,15,0.57,M1200,33.43,0,0,0,0,0,37.54
1233,天仁,21-Dec,2021,12332021,1460261,2309476,17198,16.12,0.011777347,15,0.19,M1200,32.45,0,0,0,0,0,32.17
1233,天仁,20-Dec,2020,12332020,1504274,2433516,58953,16.6,0.039190334,15,0.65,M1200,32.78,0,0,0,0,0,32.69
1233,天仁,19-Dec,2019,12332019,1616797,2490105,156301,17.85,0.096673237,15,1.73,M1200,29.98,0,0,0,0,0,32.62
1233,天仁,18-Dec,2018,12332018,1607108,2169779,174856,17.74,0.108801649,15,1.93,M1200,32.67,0,0,0,0,0,33.26
1233,天仁,17-Dec,2017,12332017,1501952,2072683,175231,16.58,0.116668842,15,1.93,M1200,30.3,0,0,0,0,0,31.46
1234,黑松,22-Dec,2022,12342022,18345327,22759247,883293,45.65,0.04814812,17,2.2,M1200,34.32,0,0,0,0,0,39.43
1234,黑松,21-Dec,2021,12342021,18143912,22788396,795714,45.15,0.043855702,17,1.98,M1200,32.27,0,0,0,0,0,31.63
1234,黑松,20-Dec,2020,12342020,18068635,22211391,889186,44.96,0.049211576,17,2.21,M1200,29.85,0,0,0,0,0,30.72
1234,黑松,19-Dec,2019,12342019,17882266,22642968,844560,44.5,0.047228914,17,2.1,M1200,24.51,0,0,0,0,0,27.05
1234,黑松,18-Dec,2018,12342018,17628091,22967481,694511,43.87,0.03939797,17,1.73,M1200,24.82,0,0,0,0,0,25.64
1234,黑松,17-Dec,2017,12342017,17562146,22855928,530858,43.7,0.030227399,17,1.32,M1200,23.16,0,0,0,0,0,23.64
1235,興泰,22-Dec,2022,12352022,1697508,3605307,195624,12.7,0.115241872,15,1.46,M1200,61.76,0,0,0,0,0,72.53
