代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,NI,Price,MVE,BVE,Earnings,NetDiv,ADV,RD,ROA,S,SG,BM
1232,大統益,2022,M1200,12322022,0,0,0,0,0,159975,5271072,7393401,1156882,146.5,23436337.5,5271072,1156882,959849,0.026775867,0.00038234,0.16,24676960,20.5,0.24329431
1232,大統益,2021,M1200,12322021,0,0,0,0,0,159975,4957653,7003498,1238735,145.52,23279562,4957653,1238735,959849,0.027965538,0.00046528,-0.41,20477990,17.41,0.211306242
1232,大統益,2020,M1200,12322020,0,0,0,0,0,159975,4641004,6348688,1320636,147.02,23519524.5,4641004,1320636,959849,0.032461309,0.000527895,5.52,17440979,1.7,0.228485532
1232,大統益,2019,M1200,12322019,0,0,0,0,0,159975,4131485,5807485,1000370,104.42,16704589.5,4131485,1000370,799874,0.032586384,0.000425478,2.34,17150108,1.19,0.249356151
1232,大統益,2018,M1200,12322018,0,0,0,0,0,159975,3942280,5470902,894321,106.58,17050135.5,3942280,894321,799874,0.030950195,0.000469946,1.77,16948746,0.38,0.305556113
1232,大統益,2017,M1200,12322017,0,0,0,0,0,159975,3825227,5452648,879104,73.77,11801355.75,3825227,879104,799874,0.028041071,0.000473575,-1.32,16884341,-2.87,0.339602399
1233,天仁,2022,M1200,12332022,0,0,0,0,0,90592,1489549,2353960,51623,37.54,3400823.68,1489549,51623,77003,0.460654521,0.003057208,0.27,1835662,3.53,0.51917872
1233,天仁,2021,M1200,12332021,0,0,0,0,0,90592,1460261,2309476,17198,32.17,2914344.64,1460261,17198,62508,0.460644974,0.003179919,-0.68,1773001,-6.99,0.487423478
1233,天仁,2020,M1200,12332020,0,0,0,0,0,90592,1504274,2433516,58953,32.69,2961452.48,1504274,58953,54355,0.457002278,0.002621454,-4.12,1906194,-15.19,0.493166974
1233,天仁,2019,M1200,12332019,0,0,0,0,0,90592,1616797,2490105,156301,32.62,2955111.04,1616797,156301,144947,0.414852386,0.002163656,3.36,2247585,2.48,0.498659329
1233,天仁,2018,M1200,12332018,0,0,0,0,0,90592,1607108,2169779,174856,33.26,3013089.92,1607108,174856,172124,0.411109206,0.002134404,-0.36,2193118,2.95,0.548040326
1233,天仁,2017,M1200,12332017,0,0,0,0,0,90592,1501952,2072683,175231,31.46,2850024.32,1501952,175231,203831,0.387549751,0.002046142,0.26,2130351,-0.21,0.573678221
1234,黑松,2022,M1200,12342022,0,0,0,0,0,401871,18345327,22759247,883293,39.43,15845773.53,18345327,883293,723367,0.148841183,0.005830519,0.4,9558497,3.64,1.465012535
