代號,名稱,年月,Key6,PRC,PrePRC,PRC_YE,常續性EPS,Pre常續性EPS,NEG,PreNEG,Key,PRC_YE,Year,Industry,dNEG,dEPSS,EPSS,Annret,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY
1218,泰山,21-Jun,12182021,26.6,20.87,24.88,1.71,1.17,0,0,12182020,24.88,2020,M1200,0,0.02170418,0.068729904,0.27455678,0,0,0,0,0,0
1218,泰山,20-Jun,12182020,20.87,17.13,19.21,1.17,0.94,0,0,12182019,19.21,2019,M1200,0,0.011972931,0.060905778,0.218330414,0,0,0,0,0,0
1218,泰山,19-Jun,12182019,17.13,15.29,15.92,0.94,0.78,0,0,12182018,15.92,2018,M1200,0,0.010050251,0.059045226,0.120340092,0,0,0,0,0,0
1218,泰山,18-Jun,12182018,15.29,13.28,13.85,0.78,0.32,0,0,12182017,13.85,2017,M1200,0,0.033212996,0.05631769,0.151355422,0,0,0,0,0,0
1219,福壽,23-Jun,12192023,20.38,18.52,17.78,1.01,1.05,0,0,12192022,17.78,2022,M1200,0,-0.002249719,0.056805399,0.100431965,0,0,0,0,0,0
1219,福壽,22-Jun,12192022,18.52,20.58,18.25,1.05,1.03,0,0,12192021,18.25,2021,M1200,0,0.00109589,0.057534247,-0.100097182,0,0,0,0,0,0
1219,福壽,21-Jun,12192021,20.58,17.96,18.61,1.03,0.19,0,0,12192020,18.61,2020,M1200,0,0.045137023,0.055346588,0.145879733,0,0,0,0,0,0
1219,福壽,20-Jun,12192020,17.96,15.1,15.6,0.19,-0.03,0,1,12192019,15.6,2019,M1200,-1,0.014102564,0.012179487,0.189403974,0,0,0,0,0,0
1219,福壽,19-Jun,12192019,15.1,15.31,15.35,-0.03,0.39,1,0,12192018,15.35,2018,M1200,1,-0.027361564,-0.001954397,-0.013716525,0,0,0,0,0,0
1219,福壽,18-Jun,12192018,15.31,13.66,14.69,0.39,0.48,0,0,12192017,14.69,2017,M1200,0,-0.006126617,0.026548673,0.12079063,0,0,0,0,0,0
1220,台榮,23-Jun,12202023,14.65,14.64,15.14,0.26,0.92,0,0,12202022,15.14,2022,M1200,0,-0.043593131,0.017173052,0.00068306,0,0,0,0,0,0
1220,台榮,22-Jun,12202022,14.64,14.51,14.55,0.92,0.97,0,0,12202021,14.55,2021,M1200,0,-0.003436426,0.063230241,0.008959338,0,0,0,0,0,0
1220,台榮,21-Jun,12202021,14.51,9.27,10.98,0.97,0.79,0,0,12202020,10.98,2020,M1200,0,0.016393443,0.088342441,0.565264293,0,0,0,0,0,0
1220,台榮,20-Jun,12202020,9.27,8.89,8.73,0.79,0.51,0,0,12202019,8.73,2019,M1200,0,0.03207331,0.090492554,0.042744657,0,0,0,0,0,0
1220,台榮,19-Jun,12202019,8.89,9.48,8.65,0.51,0.42,0,0,12202018,8.65,2018,M1200,0,0.010404624,0.058959538,-0.062236287,0,0,0,0,0,0
1220,台榮,18-Jun,12202018,9.48,7.95,7.98,0.42,0.65,0,0,12202017,7.98,2017,M1200,0,-0.028822055,0.052631579,0.19245283,0,0,0,0,0,0
1225,福懋油,23-Jun,12252023,52,44.73,53.49,1.69,2.07,0,0,12252022,53.49,2022,M1200,0,-0.007104132,0.031594691,0.16253074,0,0,0,0,0,0
1225,福懋油,22-Jun,12252022,44.73,39.73,47.43,2.07,1.72,0,0,12252021,47.43,2021,M1200,0,0.007379296,0.043643264,0.125849484,0,0,0,0,0,0
1225,福懋油,21-Jun,12252021,39.73,31.7,32.63,1.72,1.55,0,0,12252020,32.63,2020,M1200,0,0.00520993,0.052712228,0.253312303,0,0,0,0,0,0
1225,福懋油,20-Jun,12252020,31.7,61.56,29.14,1.55,1.17,0,0,12252019,29.14,2019,M1200,0,0.013040494,0.053191489,-0.485055231,0,0,0,0,0,0
1225,福懋油,19-Jun,12252019,61.56,68.64,63.86,1.17,1.13,0,0,12252018,63.86,2018,M1200,0,0.00062637,0.018321328,-0.103146853,0,0,0,0,0,0
1225,福懋油,18-Jun,12252018,68.64,42.7,53.83,1.13,1.76,0,0,12252017,53.83,2017,M1200,0,-0.011703511,0.020992012,0.607494145,0,0,0,0,0,0
1227,佳格,23-Jun,12272023,40.24,43.13,38.59,1.42,2.77,0,0,12272022,38.59,2022,M1200,0,-0.034983156,0.036797098,-0.067006724,0,0,0,0,0,0
1227,佳格,22-Jun,12272022,43.13,47.84,49.02,2.77,3.54,0,0,12272021,49.02,2021,M1200,0,-0.015707874,0.056507548,-0.098453177,0,0,0,0,0,0
1227,佳格,21-Jun,12272021,47.84,53.52,54.2,3.54,3.8,0,0,12272020,54.2,2020,M1200,0,-0.004797048,0.065313653,-0.10612855,0,0,0,0,0,0
1227,佳格,20-Jun,12272020,53.52,49.47,59.13,3.8,2.84,0,0,12272019,59.13,2019,M1200,0,0.016235413,0.064265178,0.081867799,0,0,0,0,0,0
1227,佳格,19-Jun,12272019,49.47,48.62,40.51,2.84,2.47,0,0,12272018,40.51,2018,M1200,0,0.009133547,0.070106147,0.017482517,0,0,0,0,0,0
1227,佳格,18-Jun,12272018,48.62,60.63,58.31,2.47,2.97,0,0,12272017,58.31,2017,M1200,0,-0.008574859,0.042359801,-0.198086756,0,0,0,0,0,0
1229,聯華,23-Jun,12292023,62.17,49,45.94,2.63,2.92,0,0,12292022,45.94,2022,M1200,0,-0.006312582,0.057248585,0.26877551,0,0,0,0,0,0
1229,聯華,22-Jun,12292022,49,38.61,52.58,2.92,2.43,0,0,12292021,52.58,2021,M1200,0,0.009319133,0.055534424,0.269101269,0,0,0,0,0,0
1229,聯華,21-Jun,12292021,38.61,26.45,31.84,2.43,2.03,0,0,12292020,31.84,2020,M1200,0,0.012562814,0.076319095,0.45973535,0,0,0,0,0,0
1229,聯華,20-Jun,12292020,26.45,21.18,23,2.03,2.35,0,0,12292019,23,2019,M1200,0,-0.013913043,0.08826087,0.248819641,0,0,0,0,0,0
1229,聯華,19-Jun,12292019,21.18,18.58,16.79,2.35,2.88,0,0,12292018,16.79,2018,M1200,0,-0.031566409,0.139964264,0.139935414,0,0,0,0,0,0
1229,聯華,18-Jun,12292018,18.58,12.49,18.01,2.88,2.53,0,0,12292017,18.01,2017,M1200,0,0.019433648,0.15991116,0.487590072,0,0,0,0,0,0
1231,聯華食,23-Jun,12312023,84.44,70.09,66.82,4.28,3.86,0,0,12312022,66.82,2022,M1200,0,0.006285543,0.064052679,0.204736767,0,0,0,0,0,0
1231,聯華食,22-Jun,12312022,70.09,45.37,54.88,3.86,3.33,0,0,12312021,54.88,2021,M1200,0,0.009657434,0.070335277,0.544853427,0,0,0,0,0,0
1231,聯華食,21-Jun,12312021,45.37,28.31,33.01,3.33,3.04,0,0,12312020,33.01,2020,M1200,0,0.008785217,0.100878522,0.602613917,0,0,0,0,0,0
1231,聯華食,20-Jun,12312020,28.31,27.59,27.08,3.04,3.32,0,0,12312019,27.08,2019,M1200,0,-0.010339734,0.11225997,0.026096412,0,0,0,0,0,0
1231,聯華食,19-Jun,12312019,27.59,20.34,21.73,3.32,2.37,0,0,12312018,21.73,2018,M1200,0,0.043718362,0.152784169,0.356440511,0,0,0,0,0,0
