代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,TA,NI,Price,MBV,EARNBV
1304,台聚,2021,M1300,13042021,0,0,0,0,0,1188764,55644961,84825213,9807075,21.87,0.467216945,0.176243721
1304,台聚,2019,M1300,13042019,0,0,0,0,0,1188764,39176947,71425786,2270814,10.13,0.307379218,0.057963016
1304,台聚,2018,M1300,13042018,0,0,0,0,0,1188764,36454709,68991038,1488759,9.48,0.309136543,0.040838592
1304,台聚,2017,M1300,13042017,0,0,0,0,0,1165454,34808419,64393851,2703828,10.9,0.364953335,0.077677415
1305,華夏,2022,M1300,13052022,0,0,0,0,0,581050,10041228,16683779,-399256,23.08,1.335557165,-0.039761671
1305,華夏,2021,M1300,13052021,0,0,0,0,0,581050,11835269,16975315,2681983,27.48,1.349124722,0.226609383
1305,華夏,2020,M1300,13052020,0,0,0,0,0,553381,10303758,13893625,1766618,30.88,1.658463376,0.171453755
1305,華夏,2019,M1300,13052019,0,0,0,0,0,527030,8712566,12331233,646248,14.33,0.86683302,0.074174244
1305,華夏,2018,M1300,13052018,0,0,0,0,0,506760,8811104,13224095,1330450,16.3,0.937474805,0.150996969
1305,華夏,2017,M1300,13052017,0,0,0,0,0,492000,8200848,12673221,1367356,19.06,1.143481747,0.166733489
1307,三芳,2022,M1300,13072022,0,0,0,0,0,397818,8482298,15400050,562999,25.2,1.181874723,0.066373405
1307,三芳,2021,M1300,13072021,0,0,0,0,0,397818,7651060,14740117,119168,18.94,0.98478811,0.015575358
1307,三芳,2020,M1300,13072020,0,0,0,0,0,397818,7873126,15340889,250216,21.74,1.098491669,0.031781023
1307,三芳,2019,M1300,13072019,0,0,0,0,0,397818,8264085,15136071,425285,19.12,0.920401976,0.051461838
1307,三芳,2018,M1300,13072018,0,0,0,0,0,397818,8216613,14522208,346007,21.43,1.037561309,0.04211066
1307,三芳,2017,M1300,13072017,0,0,0,0,0,397818,8380965,14400134,909702,24.69,1.171956501,0.108543825
1308,亞聚,2022,M1300,13082022,0,0,0,0,0,593744,14216958,16390069,1497351,25.3,1.056606005,0.105321476
1308,亞聚,2021,M1300,13082021,0,0,0,0,0,593744,15462049,18978546,2974177,24.15,0.927362059,0.192353355
1308,亞聚,2020,M1300,13082020,0,0,0,0,0,582102,12109545,16883503,967715,28.42,1.366140416,0.079913407
1308,亞聚,2019,M1300,13082019,0,0,0,0,0,554383,10229820,16923091,768447,14.35,0.777667256,0.075118331
1308,亞聚,2018,M1300,13082018,0,0,0,0,0,554383,9604436,15597743,284368,10.09,0.58241051,0.029607985
1308,亞聚,2017,M1300,13082017,0,0,0,0,0,518115,9816470,14876001,582069,11.89,0.627556275,0.059295144
1309,台達化,2022,M1300,13092022,0,0,0,0,0,397587,7206214,9240876,428234,19.69,1.086352422,0.059425657
1309,台達化,2021,M1300,13092021,0,0,0,0,0,378654,7661813,10744659,1849407,23.96,1.184125721,0.241379814
1309,台達化,2020,M1300,13092020,0,0,0,0,0,344231,6355806,9245870,1917314,32.63,1.767243608,0.301663392
1309,台達化,2019,M1300,13092019,0,0,0,0,0,334205,4299763,8004741,355713,10.34,0.803690738,0.082728513
1309,台達化,2018,M1300,13092018,0,0,0,0,0,327652,3991957,8727546,184174,7.3,0.59916968,0.046136269
1309,台達化,2017,M1300,13092017,0,0,0,0,0,327652,3905550,8811435,524582,10.83,0.908571433,0.134317062
1310,台苯,2022,M1300,13102022,0,0,0,0,0,527870,6722246,8912648,-412899,16.34,1.283112192,-0.061422774
1310,台苯,2021,M1300,13102021,0,0,0,0,0,527870,7371126,9299190,103102,14.02,1.004017215,0.01398728
