Key,Year,Trade,Industry,Adopt,Adopt_Ind,RPA_Ctd,Big4,Fin,INST,SG,Cycle,CL,Zscore,INSTt,MS,LGTA,BM.x,LEV,OCF,MTB,Age,ESG,RD,ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12202018,2018,TSE,M1200,0,0,0,0,0,0.3356,0.138558995,173.29,0.153463168,3.519086333,0.373,0.003961036,14.94902753,1.537486972,0.220892028,0.037743963,0.650412015,3.988984047,46.2,0,0.039323865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12202019,2019,TSE,M1200,0,0,0,0,0,0.373,0.078826402,154.25,0.150115784,3.594915496,0.41,0.004108591,14.9628565,1.509880768,0.213133631,0.059799252,0.662303952,3.988984047,48.49,0,0.039733418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12202020,2020,TSE,M1200,0,0,0,0,0,0.41,-0.074693584,152.13,0.114608538,4.409512407,0.3719,0.003788698,14.94733065,0.991901703,0.178216462,0.149470415,1.008164415,3.988984047,53.48,0,0.039348543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12202021,2021,TSE,M1200,0,0,0,0,0,0.3719,0.138012341,158.07,0.145912282,4.372787666,0.3616,0.004023157,15.00691167,1.00045829,0.212073433,0.080625758,0.99954192,3.988984047,54.41,0,0.036109991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12202022,2022,TSE,M1200,0,0,0,0,0,0.3616,0.089940626,131.19,0.176588587,3.990770543,0.3055,0.004030974,14.97957501,0.938261448,0.240059945,-0.032290797,1.065801011,3.988984047,51.37,0,0.033635086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12252017,2017,TSE,M1200,0,0,0,1,0,0.1325,-0.01507263,82.99,0.346821585,4.857819568,0.6786,0.01638206,15.76384918,0.242313668,0.481609287,0.012525403,4.126882352,3.610917913,66.21,0.002668696,0.036871568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12252018,2018,TSE,M1200,0,0,0,1,0,0.6786,0.043242372,90.59,0.278173723,6.191618639,0.691,0.016211025,15.67588165,0.2674879,0.439586494,0.118827672,3.738486862,3.610917913,67.48,0.002793256,0.036849528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12252019,2019,TSE,M1200,0,0,0,1,0,0.691,-0.056075017,83.23,0.325855892,3.206101465,0.6929,0.014666998,15.86204363,0.526249743,0.528688672,0.053188618,1.900238458,3.610917913,66.34,0.003106089,0.037277019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12252020,2020,TSE,M1200,0,0,0,1,0,0.6929,-0.042396171,82.88,0.375277413,3.218598198,0.6592,0.013944091,15.8558726,0.429636419,0.514760196,0.067895262,2.327549425,3.610917913,58.77,0.003438099,0.037914845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12252021,2021,TSE,M1200,0,0,0,1,0,0.6592,0.2205793,86.55,0.432859401,3.348242317,0.6558,0.016375564,16.02479194,0.395850782,0.574884995,-0.065803375,2.526204432,3.610917913,59.52,0.002802513,0.03059069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
